,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Adirondack House, Middlebury, VT 05753, USA",ChIJR4oQwKpdtUwRAgsAbreCdKs,Adirondack House Middlebury VT,44.0106866,-73.1800513,1,05753,OK,premise
1,ROOFTOP,"Twilight Hall, Middlebury, VT 05753, USA",ChIJy7ACfAFdtUwRO6dz8iaEhBQ,Twilight Hall Middlebury VT,44.0108814,-73.1721317,1,05753,OK,premise
2,ROOFTOP,"Carr Hall, Middlebury, VT 05753, USA",ChIJsdTJdQBdtUwRyMj9C2V9JqE,Carr Hall Middlebury VT,44.0106152,-73.1782455,1,05753,OK,premise
3,ROOFTOP,"Chellis House, Middlebury, VT 05753, USA",ChIJQe8JS1VctUwRNEmJoGluMHM,Chellis House Middlebury VT,44.009383,-73.18051070000001,1,05753,OK,premise
4,ROOFTOP,"110 Storrs Ave, Middlebury, VT 05753, USA",ChIJi2zVwwFdtUwRSReIw6Km1Q4,Davis Library Middlebury VT,44.0095548,-73.1743542,1,05753,OK,"establishment,library,point_of_interest"
5,ROOFTOP,"Emma Willard House, 131 S Main St, Middlebury, VT 05753, USA",ChIJqbJBCf5ctUwRANSCJWDHMOA,Emma Willard House Middlebury VT,44.007728,-73.1740402,1,05753,OK,premise
6,ROOFTOP,"Forest Hall, 496 College St, Middlebury, VT 05753, USA",ChIJAQBwmKpdtUwRF-9xMnXrZHY,Forest Hall Middlebury VT,44.0105464,-73.17912299999999,1,05753,OK,"establishment,point_of_interest"
7,ROOFTOP,"14 Old Chapel Rd, Middlebury, VT 05753, USA",ChIJj7_gV_5ctUwRuyfdhq0Zg-k,Franklin Environmental Center at Hillcrest Middlebury VT,44.00825950000001,-73.1773152,1,05753,OK,"establishment,point_of_interest,university"
8,ROOFTOP,"Freeman International Center, Middlebury, VT 05753, USA",ChIJp-XP1qtdtUwRmOi-BrNc9-k,Freeman International Center Middlebury VT,44.0139867,-73.1800812,1,05753,OK,premise
9,ROOFTOP,"Gifford Hall, Middlebury, VT 05753, USA",ChIJ1ci1qapdtUwRmu6Ev5DfNuc,Gifford Hall Middlebury VT,44.0098584,-73.1789313,1,05753,OK,premise
10,ROOFTOP,"Johnson Memorial Building, 78 Château Road, Middlebury, VT 05753, USA",ChIJoT-5iwBdtUwRaxRTt_YnSW8,Johnson Memorial Building Middlebury VT,44.0115071,-73.1765973,1,05753,OK,premise
11,GEOMETRIC_CENTER,"Château Road, Middlebury, VT 05753, USA",ChIJ_ffDhwBdtUwRCBc5NqRn5iQ,Le Chateau Middlebury VT,44.0115601,-73.17718239999999,1,05753,OK,route
12,GEOMETRIC_CENTER,"Bicentennial Way, Middlebury, VT 05753, USA",ChIJRzct4atdtUwRenEQUhW9jHA,McCardell Bicentennial Hall Middlebury VT,44.0134025,-73.18126699999999,1,05753,OK,"establishment,point_of_interest,university"
13,ROOFTOP,"McCullough Student Center, Old Chapel Rd, Middlebury, VT 05753, USA",ChIJDz0Gz_9ctUwRiOiUjk2AyVw,McCullough Student Center Middlebury VT,44.00826319999999,-73.1773407,1,05753,OK,premise
14,GEOMETRIC_CENTER,"Middlebury, VT 05753, USA",ChIJN-5F_v9ctUwRH529-HB0wfA,Mead Memorial Chapel Middlebury VT,44.0091201,-73.17892820000002,1,05753,OK,"church,establishment,place_of_worship,point_of_interest"
15,ROOFTOP,"Munroe Hall, Middlebury, VT 05753, USA",ChIJOcODEQBdtUwRNjfU_ctlJzw,Munroe Hall Middlebury VT,44.0099865,-73.17784069999999,1,05753,OK,premise
16,GEOMETRIC_CENTER,"Old Chapel Rd, Middlebury, VT 05753, USA",ChIJ87UzKABdtUwRuOUbL3cSczc,Old Chapel Middlebury VT,44.0093156,-73.1762631,1,05753,OK,route
17,ROOFTOP,"Proctor Dining Hall, Hepburn Rd, Middlebury, VT 05753, USA",ChIJD1fPU1VctUwRytADYUk0-dw,Proctor Hall Middlebury VT,44.0092044,-73.1799348,1,05753,OK,premise
18,ROOFTOP,"125 S Main St, Middlebury, VT 05753, USA",ChIJ4yPNAP5ctUwRzKka-0PSMLQ,Middlebury College Public Safety Middlebury VT,44.0082049,-73.1735379,1,05753,OK,"establishment,local_government_office,point_of_interest"
19,ROOFTOP,"Robert A. Jones '59 House, 148 Hillcrest Rd, Middlebury, VT 05753, USA",ChIJtUQwZFVctUwRL8Dwd5fd_H0,Robert A. Jones House Middlebury VT,44.0080365,-73.18056539999999,1,05753,OK,premise
20,ROOFTOP,"Service Building, Middlebury, VT 05753, USA",ChIJeU3STP5ctUwR2hGZTiH2xs8,Service Building Middlebury VT,44.00747639999999,-73.1769786,2,05753,OK,premise
21,ROOFTOP,"356 College St, Middlebury, VT 05753, USA",ChIJAU_IXABdtUwRe2ZeGqD2a6I,Sunderland Language Center Middlebury VT,44.01072,-73.17644299999999,1,05753,OK,"establishment,point_of_interest,school"
22,ROOFTOP,"Axinn Center at Starr Library, Middlebury, VT 05753, USA",ChIJb7MvOf5ctUwRvn9qRKHyPZE,The Axinn Center at Starr Library Middlebury VT,44.00797900000001,-73.1754587,1,05753,OK,premise
23,ROOFTOP,"77 Main St, Middlebury, VT 05753, USA",ChIJkcLfxANdtUwRVmuZf_dyTWo,Voter Hall Middlebury VT,44.012253,-73.16905969999999,2,05753,OK,"establishment,local_government_office,point_of_interest"
24,ROOFTOP,"Warner Hall, Middlebury, VT 05753, USA",ChIJq2uxtAFdtUwRGRNi70m4On4,Warner Hall Middlebury VT,44.0101601,-73.17535459999999,1,05753,OK,premise
25,ROOFTOP,"Wright Memorial Theatre, Middlebury, VT 05753, USA",ChIJe2DAmgBdtUwRgByOw_o2440,Wright Memorial Theatre Middlebury VT,44.0119745,-73.17694180000001,1,05753,OK,premise
26,GEOMETRIC_CENTER,"HMKL Way, Middlebury, VT 05753, USA",ChIJXdZ33apdtUwRazXOnOqIe5I,Ross Dining Hall Middlebury VT,44.010665,-73.1811306,1,05753,OK,"establishment,point_of_interest"
27,GEOMETRIC_CENTER,"HMKL Way, Middlebury, VT 05753, USA",ChIJXdZ33apdtUwRazXOnOqIe5I,Atwater Commons Dining Hall Middlebury VT,44.010665,-73.1811306,2,05753,OK,"establishment,point_of_interest"
28,ROOFTOP,"Allen Hall, Middlebury, VT 05753, USA",ChIJMTNcCapdtUwRXRoO7wzPtyw,Allen Hall Middlebury VT,44.012987,-73.1773424,1,05753,OK,premise
29,ROOFTOP,"202 Freeman Way, Middlebury, VT 05753, USA",ChIJ___vO6pdtUwRU0Gk0o-N0Cc,Atwater Residence Halls Middlebury VT,44.0131872,-73.1789902,1,05753,OK,"establishment,point_of_interest"
30,ROOFTOP,"Battell Hall, Middlebury, VT 05753, USA",ChIJjx3OgapdtUwRO7sRuSa3WF4,Battell Hall Middlebury VT,44.0113345,-73.1780382,1,05753,OK,premise
31,ROOFTOP,"202 Freeman Way, Middlebury, VT 05753, USA",ChIJ___vO6pdtUwRU0Gk0o-N0Cc,Coffrin Hall Middlebury VT,44.0131872,-73.1789902,1,05753,OK,"establishment,point_of_interest"
32,ROOFTOP,"160 HMKL Way, Middlebury, VT 05753, USA",ChIJheImAqtdtUwRxot5FRjHsm8,Hadley Hall Middlebury VT,44.0116242,-73.1812384,1,05753,OK,"establishment,point_of_interest"
33,ROOFTOP,"121 Hepburn Rd, Middlebury, VT 05753, USA",ChIJeUMl7v9ctUwRJeysOPVWWAI,Hepburn Hall Middlebury VT,44.00852250000001,-73.17883259999999,1,05753,OK,"establishment,point_of_interest"
34,ROOFTOP,"160 HMKL Way, Middlebury, VT 05753, USA",ChIJdxXnqatdtUwRGA7b72S4SAk,Kelly Hall Middlebury VT,44.0120073,-73.181389,1,05753,OK,"establishment,point_of_interest"
35,ROOFTOP,"160 HMKL Way, Middlebury, VT 05753, USA",ChIJg6TnqKtdtUwRRGaVCy4E37w,Lang Hall Middlebury VT,44.0122414,-73.1814009,1,05753,OK,"establishment,point_of_interest"
36,ROOFTOP,"160 HMKL Way, Middlebury, VT 05753, USA",ChIJP2NZ3KpdtUwRGnUl9XaiuxY,LaForce Hall Middlebury VT,44.0104225,-73.1807254,1,05753,OK,"establishment,point_of_interest"
37,ROOFTOP,"Meeker House, 46 Porter Field Rd, Middlebury, VT 05753, USA",ChIJLTjVYv5ctUwR6mhCC12z_gA,Meeker House Middlebury VT,44.0065367,-73.1752424,1,05753,OK,premise
38,ROOFTOP,"160 HMKL Way, Middlebury, VT 05753, USA",ChIJl3-6_KpdtUwRLhYQ3YRlEqE,Milliken Hall Middlebury VT,44.0113669,-73.1808056,2,05753,OK,"establishment,point_of_interest"
39,ROOFTOP,"Munford House, Middlebury, VT 05753, USA",ChIJ06gpif5ctUwR_LEF8xRdWGA,Munford House Middlebury VT,44.0062293,-73.1756309,1,05753,OK,premise
40,ROOFTOP,"Painter Hall, 5 Old Chapel Rd, Middlebury, VT 05753, USA",ChIJAyQaMwBdtUwRzWvRgGDSHdQ,Painter Hall Middlebury VT,44.0095438,-73.1758796,1,05753,OK,premise
41,ROOFTOP,"Pearsons Hall, 536 College St, Middlebury, VT 05753, USA",ChIJpRxs7qpdtUwRV7ljTRrG_6o,Pearsons Hall Middlebury VT,44.0110782,-73.1802196,1,05753,OK,premise
42,ROOFTOP,"11 Old Chapel Rd, Middlebury, VT 05753, USA",ChIJvTprLP5ctUwRkY2HEoEN_1o,Starr Hall Middlebury VT,44.0085227,-73.1760273,1,05753,OK,"establishment,point_of_interest"
43,ROOFTOP,"167 Hepburn Rd, Middlebury, VT 05753, USA",ChIJiehpkv9ctUwRw8jJqqfPqZs,Stewart Hall Middlebury VT,44.0079894,-73.1787104,1,05753,OK,"establishment,point_of_interest"
